bert_base	random	533	0.8883333333333333	460	0.8914728682170543	73	0.8690476190476191
bert_large	random	549	0.915	476	0.9224806201550387	73	0.8690476190476191
distilbert	random	500	0.8333333333333334	426	0.8255813953488372	74	0.8809523809523809
gpt2_base	random	457	0.7616666666666667	389	0.7538759689922481	68	0.8095238095238095
gpt2_large	random	481	0.8016666666666666	412	0.7984496124031008	69	0.8214285714285714
gpt2_med	random	468	0.78	402	0.7790697674418605	66	0.7857142857142857
gpt2_xl	random	484	0.8066666666666666	416	0.8062015503875969	68	0.8095238095238095
gpt	random	440	0.7333333333333333	381	0.7383720930232558	59	0.7023809523809523
roberta	random	559	0.9316666666666666	485	0.939922480620155	74	0.8809523809523809
txl	random	435	0.725	370	0.7170542635658915	65	0.7738095238095238
bert_base	hardest	57	0.19	54	0.2037735849056604	3	0.08571428571428572
bert_large	hardest	62	0.20666666666666667	59	0.22264150943396227	3	0.08571428571428572
distilbert	hardest	65	0.21666666666666667	60	0.22641509433962265	5	0.14285714285714285
gpt2_base	hardest	7	0.023333333333333334	5	0.018867924528301886	2	0.05714285714285714
gpt2_large	hardest	9	0.03	6	0.022641509433962263	3	0.08571428571428572
gpt2_med	hardest	5	0.016666666666666666	3	0.011320754716981131	2	0.05714285714285714
gpt2_xl	hardest	11	0.03666666666666667	9	0.033962264150943396	2	0.05714285714285714
gpt	hardest	11	0.03666666666666667	10	0.03773584905660377	1	0.02857142857142857
roberta	hardest	93	0.31	88	0.3320754716981132	5	0.14285714285714285
txl	hardest	29	0.09666666666666666	26	0.09811320754716982	3	0.08571428571428572
